Project Name,Package Name,Architecture Smell,Cause of the Smell
.,(default package),Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChatClient]; [ChatServer; SecWebSocketProtocolServerExample; SSLServerCustomWebsocketFactoryExample; SSLServerExample; SSLServerLetsEncryptExample; TwoWaySSLServerExample]; [ChatServerAttachmentExample]; [CustomHeaderClientExample; ExampleClient; ProxyClientExample; ReconnectClientExample; SecWebSocketProtocolClientExample]; [FragmentedFramesExample]; [PerMessageDeflateExample]; [PerMessageDeflateExample.DeflateClient]; [PerMessageDeflateExample.DeflateServer]; [ServerAdditionalHeaderExample]; [ServerRejectHandshakeExample]; [ServerStressTest]; [WebSocketChatClient]; [WebSocketChatClient.SSLClientExample]. LCC (Lack of Component Cohesion) = 0.59
.,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.78. All the dependencies among components: from: (default package) to: org.java_websocket.client; from: (default package) to: org.java_websocket.drafts; from: (default package) to: org.java_websocket.handshake; from: (default package) to: org.java_websocket; from: (default package) to: org.java_websocket.enums; from: (default package) to: org.java_websocket.framing; from: (default package) to: org.java_websocket.server; from: org.java_websocket to: org.java_websocket.framing; from: org.java_websocket to: org.java_websocket.enums; from: org.java_websocket to: org.java_websocket.util; from: org.java_websocket to: org.java_websocket.drafts; from: org.java_websocket to: org.java_websocket.handshake; from: org.java_websocket to: org.java_websocket.exceptions; from: org.java_websocket.client to: org.java_websocket; from: org.java_websocket.client to: org.java_websocket.drafts; from: org.java_websocket.client to: org.java_websocket.handshake; from: org.java_websocket.client to: org.java_websocket.enums; from: org.java_websocket.client to: org.java_websocket.framing; from: org.java_websocket.drafts to: org.java_websocket.enums; from: org.java_websocket.drafts to: org.java_websocket.handshake; from: org.java_websocket.drafts to: org.java_websocket.framing; from: org.java_websocket.drafts to: org.java_websocket; from: org.java_websocket.drafts to: org.java_websocket.util; from: org.java_websocket.drafts to: org.java_websocket.extensions; from: org.java_websocket.drafts to: org.java_websocket.protocols; from: org.java_websocket.exceptions to: org.java_websocket.framing; from: org.java_websocket.exceptions to: org.java_websocket; from: org.java_websocket.extensions to: org.java_websocket.framing; from: org.java_websocket.extensions to: org.java_websocket.extensions.permessage_deflate; from: org.java_websocket.extensions.permessage_deflate to: org.java_websocket.framing; from: org.java_websocket.extensions.permessage_deflate to: org.java_websocket.extensions; from: org.java_websocket.extensions.permessage_deflate to: org.java_websocket.enums; from: org.java_websocket.framing to: org.java_websocket.enums; from: org.java_websocket.framing to: org.java_websocket.util; from: org.java_websocket.protocols to: org.java_websocket.drafts; from: org.java_websocket.protocols to: org.java_websocket.client; from: org.java_websocket.protocols to: org.java_websocket.handshake; from: org.java_websocket.protocols to: org.java_websocket.framing; from: org.java_websocket.protocols to: org.java_websocket.util; from: org.java_websocket.server to: org.java_websocket; from: org.java_websocket.server to: org.java_websocket.drafts; from: org.java_websocket.server to: org.java_websocket.handshake; from: org.java_websocket.server to: org.java_websocket.framing; from: org.java_websocket.server to: org.java_websocket.util; from: org.java_websocket.util to: org.java_websocket.framing; from: org.java_websocket.example to: org.java_websocket.drafts; from: org.java_websocket.example to: org.java_websocket.handshake; from: org.java_websocket.example to: org.java_websocket; from: org.java_websocket.example to: org.java_websocket.extensions.permessage_deflate; from: org.java_websocket.issues to: org.java_websocket.client; from: org.java_websocket.issues to: org.java_websocket.server; from: org.java_websocket.issues to: org.java_websocket.handshake; from: org.java_websocket.issues to: org.java_websocket.util; from: org.java_websocket.issues to: org.java_websocket; from: org.java_websocket.issues to: org.java_websocket.drafts; from: org.java_websocket.issues to: org.java_websocket.framing; from: org.java_websocket.issues to: org.java_websocket.enums; from: org.java_websocket.misc to: org.java_websocket.client; from: org.java_websocket.misc to: org.java_websocket.handshake; from: org.java_websocket.misc to: org.java_websocket.framing; from: org.java_websocket.misc to: org.java_websocket.util.
.,org.java_websocket,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.java_websocket.drafts; org.java_websocket.exceptions
.,org.java_websocket,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.java_websocket; org.java_websocket.drafts; org.java_websocket
.,org.java_websocket,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.java_websocket; org.java_websocket.exceptions; org.java_websocket
.,org.java_websocket.client,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.java_websocket; org.java_websocket.drafts
.,org.java_websocket.client,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DnsResolver; WebSocketClient; WebSocketClient.WebsocketWriteThread; AttachmentTest; HeadersTest]; [AllClientTests]; [SchemaCheckTest]. LCC (Lack of Component Cohesion) = 0.43
.,org.java_websocket.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.java_websocket.client; org.java_websocket.drafts; org.java_websocket.protocols; org.java_websocket.client
.,org.java_websocket.drafts,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.java_websocket.extensions; org.java_websocket.protocols
.,org.java_websocket.drafts,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Draft; Draft_6455; Draft_6455Test]; [Draft_6455.TranslatedPayloadMetaData]; [AllDraftTests]; [Draft_6455Test.TestExtension]. LCC (Lack of Component Cohesion) = 0.67
