Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,(default package),ChatClient,ChatClient,Magic Number,The method contains a magic number: 6,56
.,(default package),ChatClient,ChatClient,Magic Number,The method contains a magic number: 300,56
.,(default package),ChatClient,ChatClient,Magic Number,The method contains a magic number: 400,56
.,(default package),ChatServer,main,Empty catch clause,The method has an empty catch block.,84
.,(default package),ChatServer,main,Magic Number,The method contains a magic number: 8887,84
.,(default package),ChatServer,main,Magic Number,The method contains a magic number: 1000,84
.,(default package),ChatServer,onStart,Magic Number,The method contains a magic number: 100,113
.,(default package),ChatServerAttachmentExample,onOpen,Long Statement,The length of the statement "System.out.println(conn.getRemoteSocketAddress().getAddress().getHostAddress() + " entered the room! ID: " + conn.<Integer>getAttachment());" is 140.,54
.,(default package),ChatServerAttachmentExample,main,Empty catch clause,The method has an empty catch block.,80
.,(default package),ChatServerAttachmentExample,main,Magic Number,The method contains a magic number: 8887,80
.,(default package),ChatServerAttachmentExample,main,Magic Number,The method contains a magic number: 1000,80
.,(default package),FragmentedFramesExample,main,Magic Number,The method contains a magic number: 2,45
.,(default package),FragmentedFramesExample,main,Magic Number,The method contains a magic number: 2,45
.,(default package),ProxyClientExample,main,Magic Number,The method contains a magic number: 80,33
.,(default package),ReconnectClientExample,main,Magic Number,The method contains a magic number: 10,34
.,(default package),ReconnectClientExample,main,Magic Number,The method contains a magic number: 10000,34
.,(default package),ReconnectClientExample,main,Magic Number,The method contains a magic number: 100,34
.,(default package),ReconnectClientExample,main,Magic Number,The method contains a magic number: 100,34
.,(default package),SecWebSocketProtocolClientExample,main,Long Statement,The length of the statement "Draft_6455 draft_ocppOnly=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("ocpp2.0")));" is 140.,40
