Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,org.java_websocket.client,AttachmentTest,testSetter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.client,HeadersTest,testHttpHeaders,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.client,HeadersTest,test_Add_RemoveHeaders,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.client,SchemaCheckTest,testSchemaCheck,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.drafts,Draft_6455Test,Draft_6455Test,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
.,org.java_websocket.drafts,Draft_6455Test,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,org.java_websocket.drafts,Draft_6455Test,testGetKnownExtensions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.drafts,Draft_6455Test,testGetProtocol,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.drafts,Draft_6455Test,testGetKnownProtocols,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.drafts,Draft_6455Test,testCopyInstance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.drafts,Draft_6455Test,testReset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.drafts,Draft_6455Test,testToString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.drafts,Draft_6455Test,testEquals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
.,org.java_websocket.drafts,Draft_6455Test,testHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
.,org.java_websocket.drafts,Draft_6455Test,acceptHandshakeAsServer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
.,org.java_websocket.drafts,Draft_6455Test,acceptHandshakeAsClient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,org.java_websocket.drafts,Draft_6455Test,postProcessHandshakeRequestAsClient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
.,org.java_websocket.drafts,Draft_6455Test,postProcessHandshakeResponseAsServer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 28
.,org.java_websocket.drafts,Draft_6455Test,createFramesBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.drafts,Draft_6455Test,createFramesText,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.exceptions,IncompleteHandshakeExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.exceptions,InvalidDataExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.exceptions,InvalidEncodingExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.exceptions,InvalidFrameExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.exceptions,InvalidHandshakeExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.exceptions,LimitExceededExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.exceptions,NotSendableExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.extensions,CompressionExtensionTest,testIsFrameValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.extensions,CompressionExtensionTest,testIsFrameValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.extensions,DefaultExtensionTest,testAcceptProvidedExtensionAsServer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.extensions,DefaultExtensionTest,testAcceptProvidedExtensionAsClient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.extensions,DefaultExtensionTest,testIsFrameValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.extensions,DefaultExtensionTest,testIsFrameValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.extensions,DefaultExtensionTest,testEquals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testDecodeFrame,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testDecodeFrameIfRSVIsNotSet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testEncodeFrameBelowThreshold,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testAcceptProvidedExtensionAsServer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testAcceptProvidedExtensionAsClient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testIsFrameValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testIsFrameValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,BinaryFrameTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.framing,BinaryFrameTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
