Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
.,(default package),ChatClient,ChatClient,43,2,1,56,0,,
.,(default package),ChatClient,windowClosing,6,2,1,96,0,,
.,(default package),ChatClient,actionPerformed,52,5,1,109,0,,
.,(default package),ChatClient,onMessage,4,1,1,123,0,,
.,(default package),ChatClient,onOpen,4,1,1,129,0,,
.,(default package),ChatClient,onClose,8,1,3,135,0,,
.,(default package),ChatClient,onError,9,1,1,147,0,,
.,(default package),ChatClient,main,12,2,1,172,0,,
.,(default package),ChatServer,ChatServer,3,1,1,44,0,,
.,(default package),ChatServer,ChatServer,3,1,1,48,0,,
.,(default package),ChatServer,ChatServer,3,1,2,52,0,,
.,(default package),ChatServer,onOpen,5,1,2,56,0,,
.,(default package),ChatServer,onClose,4,1,4,65,0,,
.,(default package),ChatServer,onMessage,4,1,2,71,0,,
.,(default package),ChatServer,onMessage,4,1,2,77,0,,
.,(default package),ChatServer,main,20,3,1,84,0,,
.,(default package),ChatServer,onError,5,2,2,105,0,,
.,(default package),ChatServer,onStart,5,1,0,113,0,,
.,(default package),ChatServerAttachmentExample,ChatServerAttachmentExample,3,1,1,46,0,,
.,(default package),ChatServerAttachmentExample,ChatServerAttachmentExample,3,1,1,50,0,,
.,(default package),ChatServerAttachmentExample,onOpen,5,1,2,54,0,,
.,(default package),ChatServerAttachmentExample,onClose,3,1,4,64,0,,
.,(default package),ChatServerAttachmentExample,onMessage,3,1,2,70,0,,
.,(default package),ChatServerAttachmentExample,onMessage,3,1,2,75,0,,
.,(default package),ChatServerAttachmentExample,main,20,3,1,80,0,,
.,(default package),ChatServerAttachmentExample,onError,5,2,2,101,0,,
.,(default package),ChatServerAttachmentExample,onStart,3,1,0,109,0,,
.,(default package),CustomHeaderClientExample,main,25,1,1,38,0,,
.,(default package),ExampleClient,ExampleClient,3,1,2,39,0,,
.,(default package),ExampleClient,ExampleClient,3,1,1,43,0,,
.,(default package),ExampleClient,ExampleClient,3,1,2,47,0,,
.,(default package),ExampleClient,onOpen,4,1,1,51,0,,
.,(default package),ExampleClient,onMessage,3,1,1,58,0,,
.,(default package),ExampleClient,onClose,3,1,3,63,0,,
.,(default package),ExampleClient,onError,3,1,1,71,0,,
.,(default package),ExampleClient,main,4,1,1,77,0,,
.,(default package),FragmentedFramesExample,main,29,5,1,45,0,,
.,(default package),ProxyClientExample,main,5,1,1,33,0,,
.,(default package),ReconnectClientExample,main,16,1,1,34,0,,
.,(default package),SecWebSocketProtocolClientExample,main,9,1,1,40,0,,
.,(default package),SecWebSocketProtocolServerExample,main,9,1,1,39,0,,
.,(default package),ServerAdditionalHeaderExample,ServerAdditionalHeaderExample,3,1,1,45,0,,
.,(default package),ServerAdditionalHeaderExample,onWebsocketHandshakeReceivedAsServer,5,1,3,49,0,,
.,(default package),ServerAdditionalHeaderExample,main,20,3,1,59,0,,
.,(default package),ServerRejectHandshakeExample,ServerRejectHandshakeExample,3,1,1,44,0,,
.,(default package),ServerRejectHandshakeExample,onWebsocketHandshakeReceivedAsServer,18,6,3,48,0,,
.,(default package),ServerRejectHandshakeExample,main,20,3,1,75,0,,
.,(default package),ServerStressTest,ServerStressTest,93,2,0,65,0,,
.,(default package),ServerStressTest,actionPerformed,20,1,1,71,0,,
.,(default package),ServerStressTest,run,8,1,0,81,0,,
.,(default package),ServerStressTest,actionPerformed,10,1,1,98,0,,
.,(default package),ServerStressTest,actionPerformed,5,2,1,114,0,,
.,(default package),ServerStressTest,stateChanged,3,1,1,124,0,,
.,(default package),ServerStressTest,stateChanged,3,1,1,132,0,,
.,(default package),ServerStressTest,stateChanged,3,1,1,141,0,,
.,(default package),ServerStressTest,adjust,34,3,0,176,0,,
.,(default package),ServerStressTest,onClose,5,1,3,186,0,,
.,(default package),ServerStressTest,run,3,1,0,204,0,,
.,(default package),ServerStressTest,stopAdjust,11,2,0,212,0,,
.,(default package),ServerStressTest,send,16,2,0,223,0,,
.,(default package),ServerStressTest,main,3,1,1,241,0,,
.,(default package),WebSocketChatClient,WebSocketChatClient,3,1,1,42,0,,
.,(default package),WebSocketChatClient,onOpen,3,1,1,46,0,,
.,(default package),WebSocketChatClient,onMessage,3,1,1,52,0,,
.,(default package),WebSocketChatClient,onClose,3,1,3,58,0,,
.,(default package),WebSocketChatClient,onError,3,1,1,64,0,,
.,(default package),SSLServerCustomWebsocketFactoryExample,main,24,1,1,49,0,,
.,(default package),SSLServerExample,main,19,1,1,44,0,,
.,(default package),SSLServerLetsEncryptExample,main,9,2,1,52,0,,
.,(default package),SSLServerLetsEncryptExample,getContext,24,1,0,64,0,,
.,(default package),SSLServerLetsEncryptExample,parseDERFromPEM,6,1,3,97,0,,
.,(default package),SSLServerLetsEncryptExample,generatePrivateKeyFromDER,5,1,1,104,0,,
.,(default package),SSLServerLetsEncryptExample,generateCertificateFromDER,4,1,1,113,0,,
.,(default package),SSLServerLetsEncryptExample,getBytes,13,1,1,120,0,,
.,(default package),TwoWaySSLServerExample,main,20,1,1,50,0,,
.,org.java_websocket,AbstractWebSocket,getConnectionLostTimeout,5,1,0,98,0,,
.,org.java_websocket,AbstractWebSocket,setConnectionLostTimeout,27,5,1,110,0,org.java_websocket.AbstractWebSocket,org.java_websocket.AbstractWebSocket
.,org.java_websocket,AbstractWebSocket,stopConnectionLostTimer,9,2,0,145,0,org.java_websocket.AbstractWebSocket,org.java_websocket.AbstractWebSocket
.,org.java_websocket,AbstractWebSocket,startConnectionLostTimer,11,2,0,160,0,org.java_websocket.AbstractWebSocket,org.java_websocket.AbstractWebSocket
.,org.java_websocket,AbstractWebSocket,restartConnectionLostTimer,28,2,0,177,0,org.java_websocket.AbstractWebSocket,org.java_websocket.AbstractWebSocket
.,org.java_websocket,AbstractWebSocket,run,16,2,0,193,0,org.java_websocket.AbstractWebSocket,org.java_websocket.AbstractWebSocket
.,org.java_websocket,AbstractWebSocket,executeConnectionLostDetection,18,4,2,217,0,,
.,org.java_websocket,AbstractWebSocket,getConnections,0,1,0,243,0,,
.,org.java_websocket,AbstractWebSocket,cancelConnectionLostTimer,10,3,0,251,0,,
.,org.java_websocket,AbstractWebSocket,isTcpNoDelay,3,1,0,267,0,,
.,org.java_websocket,AbstractWebSocket,setTcpNoDelay,3,1,1,277,0,,
.,org.java_websocket,AbstractWebSocket,isReuseAddr,3,1,0,289,0,,
.,org.java_websocket,AbstractWebSocket,setReuseAddr,3,1,1,299,0,,
.,org.java_websocket,AbstractWrappedByteChannel,AbstractWrappedByteChannel,3,1,1,41,0,,
.,org.java_websocket,AbstractWrappedByteChannel,AbstractWrappedByteChannel,3,1,1,49,0,,
.,org.java_websocket,AbstractWrappedByteChannel,read,3,1,1,57,0,,
.,org.java_websocket,AbstractWrappedByteChannel,isOpen,3,1,0,62,0,,
.,org.java_websocket,AbstractWrappedByteChannel,close,3,1,0,67,0,,
.,org.java_websocket,AbstractWrappedByteChannel,write,3,1,1,72,0,,
.,org.java_websocket,AbstractWrappedByteChannel,isNeedWrite,3,1,0,77,0,,
.,org.java_websocket,AbstractWrappedByteChannel,writeMore,5,2,0,82,0,,
.,org.java_websocket,AbstractWrappedByteChannel,isNeedRead,3,1,0,90,0,,
.,org.java_websocket,AbstractWrappedByteChannel,readMore,3,1,1,96,0,,
.,org.java_websocket,AbstractWrappedByteChannel,isBlocking,9,3,0,101,0,,
.,org.java_websocket,SocketChannelIOHelper,SocketChannelIOHelper,3,1,0,35,0,,
.,org.java_websocket,SocketChannelIOHelper,read,10,2,3,39,0,,
.,org.java_websocket,SocketChannelIOHelper,readMore,10,2,3,52,0,,
.,org.java_websocket,SocketChannelIOHelper,batch,32,8,2,74,0,,
.,org.java_websocket,SSLSocketChannel,SSLSocketChannel,24,4,4,131,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,read,0,10,1,156,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,write,0,7,1,207,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,doHandshake,0,22,0,238,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,enlargePacketBuffer,3,1,1,399,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,enlargeApplicationBuffer,3,1,1,409,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,enlargeBuffer,9,2,2,419,0,,
.,org.java_websocket,SSLSocketChannel,handleBufferUnderflow,11,2,1,438,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,closeConnection,9,1,0,460,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,handleEndOfStream,9,1,0,480,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,isNeedWrite,3,1,0,499,0,,
.,org.java_websocket,SSLSocketChannel,writeMore,2,1,0,504,0,,
.,org.java_websocket,SSLSocketChannel,isNeedRead,3,1,0,509,0,,
.,org.java_websocket,SSLSocketChannel,readMore,3,1,1,514,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,isBlocking,3,1,0,519,0,,
.,org.java_websocket,SSLSocketChannel,isOpen,3,1,0,525,0,,
.,org.java_websocket,SSLSocketChannel,close,3,1,0,530,0,org.java_websocket.SSLSocketChannel,org.java_websocket.SSLSocketChannel
.,org.java_websocket,SSLSocketChannel,getSSLEngine,3,1,0,535,0,,
.,org.java_websocket,SSLSocketChannel2,SSLSocketChannel2,17,3,4,108,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,consumeFutureUninterruptible,16,2,1,132,0,,
.,org.java_websocket,SSLSocketChannel2,processHandshake,46,12,0,147,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,wrap,6,1,1,201,0,,
.,org.java_websocket,SSLSocketChannel2,unwrap,17,3,0,208,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,consumeDelegatedTasks,6,2,0,231,0,,
.,org.java_websocket,SSLSocketChannel2,createBuffers,34,7,1,239,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,write,11,3,1,274,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,read,45,12,1,291,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,readRemaining,20,6,1,356,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,isConnected,3,1,0,381,0,,
.,org.java_websocket,SSLSocketChannel2,close,12,2,0,385,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,isHandShakeComplete,4,1,0,397,0,,
.,org.java_websocket,SSLSocketChannel2,configureBlocking,3,1,1,403,0,,
.,org.java_websocket,SSLSocketChannel2,connect,3,1,1,407,0,,
.,org.java_websocket,SSLSocketChannel2,finishConnect,3,1,0,411,0,,
.,org.java_websocket,SSLSocketChannel2,socket,3,1,0,415,0,,
.,org.java_websocket,SSLSocketChannel2,isInboundDone,3,1,0,419,0,,
.,org.java_websocket,SSLSocketChannel2,isOpen,3,1,0,423,0,,
.,org.java_websocket,SSLSocketChannel2,isNeedWrite,3,1,0,428,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,writeMore,3,1,0,434,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,isNeedRead,3,1,0,439,0,,
.,org.java_websocket,SSLSocketChannel2,readMore,3,1,1,446,0,org.java_websocket.SSLSocketChannel2,org.java_websocket.SSLSocketChannel2
.,org.java_websocket,SSLSocketChannel2,transfereTo,15,3,2,451,0,,
.,org.java_websocket,SSLSocketChannel2,isBlocking,3,1,0,468,0,,
.,org.java_websocket,SSLSocketChannel2,getSSLEngine,3,1,0,473,0,,
.,org.java_websocket,SSLSocketChannel2,saveCryptedData,7,2,0,483,0,,
.,org.java_websocket,SSLSocketChannel2,tryRestoreCryptedData,8,2,0,492,0,,
.,org.java_websocket,WebSocket,close,0,1,2,41,0,,
.,org.java_websocket,WebSocket,close,0,1,1,49,0,,
.,org.java_websocket,WebSocket,close,0,1,0,56,0,,
.,org.java_websocket,WebSocket,closeConnection,0,1,2,61,0,,
.,org.java_websocket,WebSocket,send,0,1,1,71,0,,
.,org.java_websocket,WebSocket,send,0,1,1,79,0,,
.,org.java_websocket,WebSocket,send,0,1,1,88,0,,
.,org.java_websocket,WebSocket,sendFrame,0,1,1,97,0,,
.,org.java_websocket,WebSocket,sendFrame,0,1,1,104,0,,
.,org.java_websocket,WebSocket,sendPing,0,1,0,111,0,,
.,org.java_websocket,WebSocket,sendFragmentedFrame,0,1,3,118,0,,
.,org.java_websocket,WebSocket,hasBufferedData,0,1,0,132,0,,
.,org.java_websocket,WebSocket,getRemoteSocketAddress,0,1,0,139,0,,
.,org.java_websocket,WebSocket,getLocalSocketAddress,0,1,0,147,0,,
.,org.java_websocket,WebSocket,isOpen,0,1,0,155,0,,
.,org.java_websocket,WebSocket,isClosing,0,1,0,162,0,,
.,org.java_websocket,WebSocket,isFlushAndClose,0,1,0,169,0,,
.,org.java_websocket,WebSocket,isClosed,0,1,0,177,0,,
.,org.java_websocket,WebSocket,getDraft,0,1,0,184,0,,
.,org.java_websocket,WebSocket,getReadyState,0,1,0,191,0,,
.,org.java_websocket,WebSocket,getResourceDescriptor,0,1,0,199,0,,
.,org.java_websocket,WebSocket,setAttachment,0,1,1,207,0,,
.,org.java_websocket,WebSocket,getAttachment,0,1,0,216,0,,
.,org.java_websocket,WebSocket,hasSSLSupport,0,1,0,225,0,,
.,org.java_websocket,WebSocket,getSSLSession,0,1,0,233,0,,
.,org.java_websocket,WebSocket,getProtocol,0,1,0,243,0,,
.,org.java_websocket,WebSocketAdapter,onWebsocketHandshakeReceivedAsServer,3,1,3,46,0,,
.,org.java_websocket,WebSocketAdapter,onWebsocketHandshakeReceivedAsClient,2,1,3,58,0,,
.,org.java_websocket,WebSocketAdapter,onWebsocketHandshakeSentAsClient,2,1,2,64,0,,
.,org.java_websocket,WebSocketAdapter,onWebsocketPing,3,1,2,77,0,,
.,org.java_websocket,WebSocketAdapter,onWebsocketPong,2,1,2,88,0,,
.,org.java_websocket,WebSocketAdapter,onPreparePing,6,2,1,98,0,,
.,org.java_websocket,WebSocketFactory,createWebSocket,0,1,2,33,0,,
.,org.java_websocket,WebSocketFactory,createWebSocket,0,1,2,42,0,,
.,org.java_websocket,WebSocketImpl,WebSocketImpl,11,2,2,182,0,,
.,org.java_websocket,WebSocketImpl,WebSocketImpl,12,3,2,200,0,,
.,org.java_websocket,WebSocketImpl,decode,22,7,1,220,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,decodeHandshake,146,16,1,249,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,decodeFrames,33,3,1,396,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,closeConnectionDueToWrongHandshake,4,1,1,426,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,closeConnectionDueToInternalServerError,4,1,1,436,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,generateHttpResponseDueToError,0,3,1,446,0,,
.,org.java_websocket,WebSocketImpl,close,50,9,3,468,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,close,3,1,2,514,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,closeConnection,38,8,3,519,0,,
.,org.java_websocket,WebSocketImpl,closeConnection,3,1,2,574,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,closeConnection,6,2,0,578,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,closeConnection,3,1,2,585,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,flushAndClose,21,3,3,589,0,,
.,org.java_websocket,WebSocketImpl,eot,22,6,0,613,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,close,3,1,1,631,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,close,3,1,1,636,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
.,org.java_websocket,WebSocketImpl,send,6,2,1,640,0,org.java_websocket.WebSocketImpl,org.java_websocket.WebSocketImpl
